GVKEY,LINKTYPE,LPERMNO,LPERMCO,LINKDT,LINKENDDT,conm,tic,cusip
11264,LU,19502,21881,19491001,19620130,WALGREENS BOOTS ALLIANCE INC,WBA,931427108
11399,LC,66384,4879,19781130,E,WESTERN DIGITAL CORP,WDC,958102105
11399,LC,66384,4879,19770701,19781129,WESTERN DIGITAL CORP,WDC,958102105
11446,LC,21186,21913,19620131,20150701,MEADWESTVACO CORP,MWV,583334107
11456,LC,39917,21914,19631206,E,WEYERHAEUSER CO,WY,962166104
11465,LC,25419,21916,19620131,E,WHIRLPOOL CORP,WHR,963320106
11465,LC,25419,21916,19560101,19620130,WHIRLPOOL CORP,WHR,963320106
11506,LU,38156,21923,19620702,E,WILLIAMS COS INC,WMB,969457100
11550,LC,23536,21931,19620131,E,WEC ENERGY GROUP INC,WEC,92939U106
11550,LC,23536,21931,19510101,19620130,WEC ENERGY GROUP INC,WEC,92939U106
11554,LC,58819,4980,19721214,E,ALLIANT ENERGY CORP,LNT,18802108
11584,LU,15456,21936,19620131,E,FOOT LOCKER INC,FL,344849104
11584,LU,15456,21936,19500101,19620130,FOOT LOCKER INC,FL,344849104
11636,LC,27983,21945,19620131,E,XEROX HOLDINGS CORP,XRX,98421M106
